  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.160 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0534   0.02903   0.02142  -0.1040   0.9291   0.0744
  -4.000   0.0871   0.02611   0.01790  -0.1098   0.9112   0.0849
  -3.000   0.2296   0.02405   0.01639  -0.1161   0.8906   0.2036
  -2.000   0.3762   0.02228   0.01603  -0.1217   0.8658   0.6189
  -1.000   0.5180   0.02030   0.01456  -0.1240   0.8439   1.0000
   0.000   0.6603   0.01906   0.01300  -0.1277   0.8230   1.0000
   2.000   0.9114   0.01574   0.00957  -0.1273   0.7630   1.0000
   3.000   1.0000   0.01457   0.00843  -0.1206   0.6868   1.0000
   4.000   1.1223   0.01459   0.00758  -0.1201   0.5629   1.0000
   5.000   1.1932   0.01678   0.00920  -0.1125   0.4587   1.0000
   6.000   1.2693   0.01889   0.01108  -0.1064   0.3984   1.0000
   7.000   1.3380   0.02103   0.01332  -0.0993   0.3490   1.0000
   8.000   1.3850   0.02360   0.01594  -0.0896   0.2907   1.0000
   9.000   1.4194   0.02711   0.01948  -0.0795   0.2186   1.0000
  10.000   1.4448   0.03248   0.02476  -0.0702   0.1500   1.0000
