  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.160 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.2929   0.04631   0.03860  -0.1512   0.9318   0.1012
  -4.000   0.4546   0.05067   0.04376  -0.1628   0.9237   0.3382
  -3.000   0.5348   0.05062   0.04425  -0.1582   0.8741   0.5140
  -2.000   0.6999   0.05059   0.04430  -0.1622   0.8278   0.6486
  -1.000   0.8189   0.04889   0.04257  -0.1617   0.7909   0.7250
   0.000   0.9340   0.04670   0.04062  -0.1608   0.7604   0.7962
   1.000   1.0264   0.04367   0.03794  -0.1558   0.7190   0.9999
   2.000   1.1340   0.04006   0.03450  -0.1525   0.6710   0.9999
   3.000   1.3207   0.03098   0.02502  -0.1566   0.5806   0.9999
   4.000   1.4019   0.03151   0.02469  -0.1497   0.4525   0.9999
   5.000   1.4673   0.03408   0.02703  -0.1427   0.3883   0.9999
   6.000   1.5172   0.03765   0.03045  -0.1343   0.3253   0.9999
   7.000   1.5560   0.04214   0.03500  -0.1253   0.2615   0.9999
   8.000   1.5780   0.04839   0.04114  -0.1155   0.1763   0.9999
   9.000   1.5957   0.05561   0.04824  -0.1064   0.1204   0.9999
  10.000   1.6057   0.06420   0.05701  -0.0979   0.0717   0.9999
